/1 Econnomy and finance/12 Consumer Prices/1.2.1 Monthly indicators/EF-cpi-mi1.px	2026-07-08	Consumer price index in the Republic of Armenia, compared to the previous month (1993-2026) by months and years
/1 Econnomy and finance/12 Consumer Prices/1.2.1 Monthly indicators/EF-cpi-mi2.px	2026-07-08	Percentage changes of consumer prices, food products (including alcoholic beverages and tobacco), non-food products, service prices and tariffs compared to the previous month (1993-2026) by years, months and indicators
/1 Econnomy and finance/12 Consumer Prices/1.2.1 Monthly indicators/EF-cpi-mi3.px	2026-07-08	Consumer Price Index in the Republic of Armenia (each month compared to the corresponding month of the previous year, the period calculated from the beginning of the year compared to the corresponding period of the previous year (cumulative)), 1994-2026 by months, years and period
/1 Econnomy and finance/12 Consumer Prices/1.2.1 Monthly indicators/EF-cpi-mi4.px	2026-07-08	PRICE INDEXES by years and months, grow rate to the previous month (2digit level by COICOP) by year, 2digit level by COICOP and month (percentage change over 1 month)
/1 Econnomy and finance/12 Consumer Prices/1.2.1 Monthly indicators/EF-cpi-mi5.px	2026-07-08	CONSUMER PRICE INDEX REPUBLIC OF ARMENIA by months, years and period (cumulative to the same period of previous year) 2digit level by COICOP and month
/1 Econnomy and finance/12 Consumer Prices/1.2.1 Monthly indicators/EF-cpi-mi6.px	2026-07-08	CONSUMER PRICE INDEX REPUBLIC OF ARMENIA by months, years and period (each month current year to similar month previous year, by 2digit level by COICOP) by years, 2digit level by COICOP and months
/1 Econnomy and finance/12 Consumer Prices/1.2.1 Monthly indicators/EF-cpi-mi7.px	2026-07-08	CONSUMER PRICE INDEX REPUBLIC OF ARMENIA (compared to December last year) by years 2digit level by COICOP
/1 Econnomy and finance/12 Consumer Prices/1.2.2 Annual indicators/EF-cpi-ai1.px	2026-02-06	Consumer price index Republic of Armenia 1950-2025 by years and indicators
/1 Econnomy and finance/12 Consumer Prices/1.2.2 Annual indicators/EF-cpi-ai2.px	2026-02-06	The consumer price index in the Republic of Armenia compared to the previous year 2018-2025 by COICOP 4-digit classification
/1 Econnomy and finance/12 Consumer Prices/1.2.2 Annual indicators/EF-cpi-ai3.px	2026-02-06	The consumer price index in the Republic of Armenia, December compared to December of the previous year, according to the 4-digit classification of COICOP (2017-2025) by name of group and years
/1 Econnomy and finance/12 Consumer Prices/1.2.2 Annual indicators/EF-cpi-ai4.px	2026-02-06	Consumer price index Republic of Armenia, compared to previous year (1994-2016) by name of group and years
/1 Econnomy and finance/12 Consumer Prices/1.2.2 Annual indicators/EF-cpi-ai5.px	2023-02-09	Consumer price index in the Republic of Armenia, December compared to December of the previous year(1994-2016), by product group name and by years
/1 Econnomy and finance/12 Consumer Prices/1.2.2 Annual indicators/EF-cpi-ai6.px	2026-02-06	THE INDEXES OF CONSUMER GOODS PRICES AND TARIFFS OF SERVICES IN THE REPUBLIC OF ARMENIA (calculated period from the beginning of the year compared to the appropriate period of the previous year (cumulative)) (1996-2025) by name of group and year
/1 Econnomy and finance/12 Consumer Prices/1.2.2 Annual indicators/EF-cpi-ai7.px	2026-02-06	THE INDEXES OF CONSUMER GOODS PRICES AND TARIFFS OF SERVICES IN THE REPUBLIC OF ARMENIA (compared to December previouse year), (1996-2025) by name of group and year
/1 Econnomy and finance/12 Consumer Prices/1.2.3 CPI Weights/EF-cpi-weights.px	2026-02-06	Composition and structure and share of goods (service) groups for the calculation of consumer price index in the Republic of Armenia by COICOP 2-5 digit classification in 2017-2025 by COICOP and by year
/1 Econnomy and finance/12 Consumer Prices/1.2.4 Average annual prices/EF-CPI-av.px	2026-02-06	Average national retail prices (tariffs) for some goods (services) registered for the calculation of the RA consumer price index 1999-2025
/1 Econnomy and finance/13 Enterprices Finances/EF-EF-1.px	2025-11-04	Payables and receivables of large and medium-sized organizations by marzes, indicators and years
/1 Econnomy and finance/13 Enterprices Finances/EF-EF-2.px	2026-07-15	Main Indicators of the Financial Organizations Sector by indicators and years
/1 Econnomy and finance/13 Enterprices Finances/EF-gf-3.px	2026-07-15	Main Indicators of Government Finance by indicators and years
/1 Econnomy and finance/14 Government Finances/EF-gf-3.px	2026-07-15	Main Indicators of Government Finance by indicators and years
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15211 Production of GDP/EF-NA-93AP01.px	2022-07-26	GDP production by NACE 2 classification by types of economic activity by SNA 1993 and years
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15211 Production of GDP/EF-NA-93AP02.px	2022-07-26	GDP production structure, NACE 2 classification by types of economic activity by SNA 1993 and years
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15211 Production of GDP/EF-NA-93AP03.px	2022-07-26	Changes in GDP production by NACE 2 classification by types of economic activity by SNA 1993 and years
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15211 Production of GDP/EF-NA-93AP04.px	2022-04-05	GDP production by NACE 1.1. classification by types of economic activity by SNA 1993 and years
/1 Econnomy and finance/15 National Accounts/152 SNA 1993/1521 Annual data/15211 Production of GDP/EF-NA-93AP05.px	2022-04-05	GDP production structure by NACE 1.1. classification by types of economic activity by SNA 1993 and years
